"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"Total","Primary","Urban","Oti","Both sexes",1830,1935,1568,1509,1358
"Total","Primary","Urban","Oti","Male",761,814,654,633,589
"Total","Primary","Urban","Oti","Female",1069,1121,914,876,769
"Total","Primary","Urban","Northern","Both sexes",4744,5584,4568,3955,2855
"Total","Primary","Urban","Northern","Male",2557,2796,2081,1887,1474
"Total","Primary","Urban","Northern","Female",2187,2788,2487,2068,1381
"Total","Primary","Urban","TMA-Tamale Central","Both sexes",407,637,630,695,544
"Total","Primary","Urban","TMA-Tamale Central","Male",209,322,297,279,228
"Total","Primary","Urban","TMA-Tamale Central","Female",198,315,333,416,316
"Total","Primary","Urban","Savannah","Both sexes",869,1041,840,656,457
"Total","Primary","Urban","Savannah","Male",426,423,366,278,207
"Total","Primary","Urban","Savannah","Female",443,618,474,378,250
"Total","Primary","Urban","Central Gonja","Both sexes",185,254,175,128,78
"Total","Primary","Urban","Central Gonja","Male",99,108,82,61,37
"Total","Primary","Urban","Central Gonja","Female",86,146,93,67,41
"Total","Primary","Urban","Upper East","Both sexes",1521,1924,2054,2198,2037
"Total","Primary","Urban","Upper East","Male",815,949,964,961,965
"Total","Primary","Urban","Upper East","Female",706,975,1090,1237,1072
"Total","Primary","Urban","Upper West","Both sexes",917,1287,1134,1066,1010
"Total","Primary","Urban","Upper West","Male",421,551,460,420,457
"Total","Primary","Urban","Upper West","Female",496,736,674,646,553
"Total","JSS/JHS","All Locality Types","Western","Both sexes",106837,58086,58365,53614,48590
"Total","JSS/JHS","All Locality Types","Western","Male",55011,26698,27228,26397,25235
"Total","JSS/JHS","All Locality Types","Western","Female",51826,31388,31137,27217,23355
"Total","JSS/JHS","All Locality Types","Wassa Amenfi Central","Both sexes",6804,4060,3823,3153,2663
"Total","JSS/JHS","All Locality Types","Wassa Amenfi Central","Male",3667,1946,1940,1645,1484
"Total","JSS/JHS","All Locality Types","Wassa Amenfi Central","Female",3137,2114,1883,1508,1179
"Total","JSS/JHS","All Locality Types","Central","Both sexes",157092,80945,79745,74400,71845
"Total","JSS/JHS","All Locality Types","Central","Male",79825,33956,34260,33704,34357
"Total","JSS/JHS","All Locality Types","Central","Female",77267,46989,45485,40696,37488
"Total","JSS/JHS","All Locality Types","Gomoa Central","Both sexes",4846,2967,2981,2636,2482
"Total","JSS/JHS","All Locality Types","Gomoa Central","Male",2363,1206,1265,1183,1151
"Total","JSS/JHS","All Locality Types","Gomoa Central","Female",2483,1761,1716,1453,1331
"Total","JSS/JHS","All Locality Types","Greater Accra","Both sexes",203999,106138,124923,138412,139020
"Total","JSS/JHS","All Locality Types","Greater Accra","Male",99628,48445,55702,62291,64238
"Total","JSS/JHS","All Locality Types","Greater Accra","Female",104371,57693,69221,76121,74782
"Total","JSS/JHS","All Locality Types","Ga Central Municipal","Both sexes",11393,5330,6643,8233,8831
"Total","JSS/JHS","All Locality Types","Ga Central Municipal","Male",5510,2457,2718,3479,3894
"Total","JSS/JHS","All Locality Types","Ga Central Municipal","Female",5883,2873,3925,4754,4937
"Total","JSS/JHS","All Locality Types","Ablekuma Central Municipal","Both sexes",5891,3209,3638,3866,4213
"Total","JSS/JHS","All Locality Types","Ablekuma Central Municipal","Male",2923,1479,1697,1725,1922
"Total","JSS/JHS","All Locality Types","Ablekuma Central Municipal","Female",2968,1730,1941,2141,2291
"Total","JSS/JHS","All Locality Types","Ayawaso Central Municipal","Both sexes",3315,1867,2044,2301,2429
"Total","JSS/JHS","All Locality Types","Ayawaso Central Municipal","Male",1566,909,957,1036,1100
"Total","JSS/JHS","All Locality Types","Ayawaso Central Municipal","Female",1749,958,1087,1265,1329
"Total","JSS/JHS","All Locality Types","TMA-Tema Central","Both sexes",2013,1126,1260,1145,1090
"Total","JSS/JHS","All Locality Types","TMA-Tema Central","Male",913,532,610,532,449
"Total","JSS/JHS","All Locality Types","TMA-Tema Central","Female",1100,594,650,613,641
"Total","JSS/JHS","All Locality Types","Volta","Both sexes",94598,39062,37299,36847,36113
"Total","JSS/JHS","All Locality Types","Volta","Male",48635,16355,15943,16509,17023
"Total","JSS/JHS","All Locality Types","Volta","Female",45963,22707,21356,20338,19090
"Total","JSS/JHS","All Locality Types","Central Tongu","Both sexes",5430,2138,1923,1772,1490
"Total","JSS/JHS","All Locality Types","Central Tongu","Male",2829,860,829,768,716
"Total","JSS/JHS","All Locality Types","Central Tongu","Female",2601,1278,1094,1004,774
"Total","JSS/JHS","All Locality Types","Eastern","Both sexes",158905,75512,79597,77147,76816
"Total","JSS/JHS","All Locality Types","Eastern","Male",82253,32533,35061,35777,37736
"Total","JSS/JHS","All Locality Types","Eastern","Female",76652,42979,44536,41370,39080
"Total","JSS/JHS","All Locality Types","Birim Central Municipal","Both sexes",3581,2010,2095,2015,2129
"Total","JSS/JHS","All Locality Types","Birim Central Municipal","Male",1731,785,830,830,982
"Total","JSS/JHS","All Locality Types","Birim Central Municipal","Female",1850,1225,1265,1185,1147
"Total","JSS/JHS","All Locality Types","Upper West Akim","Both sexes",5983,3040,2946,2738,2572
"Total","JSS/JHS","All Locality Types","Upper West Akim","Male",3169,1260,1409,1310,1386
"Total","JSS/JHS","All Locality Types","Upper West Akim","Female",2814,1780,1537,1428,1186
"Total","JSS/JHS","All Locality Types","Ashanti","Both sexes",250901,132898,135597,129678,132832
"Total","JSS/JHS","All Locality Types","Ashanti","Male",128586,58395,60283,59298,63762
"Total","JSS/JHS","All Locality Types","Ashanti","Female",122315,74503,75314,70380,69070
"Total","JSS/JHS","All Locality Types","Amansie Central","Both sexes",5002,3363,3234,2510,2278
"Total","JSS/JHS","All Locality Types","Amansie Central","Male",2639,1485,1658,1372,1329
"Total","JSS/JHS","All Locality Types","Amansie Central","Female",2363,1878,1576,1138,949
"Total","JSS/JHS","All Locality Types","Asante Akim Central Municipal","Both sexes",4385,2496,2791,2711,2638
"Total","JSS/JHS","All Locality Types","Asante Akim Central Municipal","Male",2212,996,1216,1269,1181
"Total","JSS/JHS","All Locality Types","Asante Akim Central Municipal","Female",2173,1500,1575,1442,1457
"Total","JSS/JHS","All Locality Types","Ahafo Ano South West","Both sexes",3918,1823,1714,1438,1452
"Total","JSS/JHS","All Locality Types","Ahafo Ano South West","Male",2075,732,802,689,783
"Total","JSS/JHS","All Locality Types","Ahafo Ano South West","Female",1843,1091,912,749,669
"Total","JSS/JHS","All Locality Types","Ahafo Ano North Municipal","Both sexes",5457,2583,2309,1937,1924
"Total","JSS/JHS","All Locality Types","Ahafo Ano North Municipal","Male",2848,1034,1015,944,988
"Total","JSS/JHS","All Locality Types","Ahafo Ano North Municipal","Female",2609,1549,1294,993,936
"Total","JSS/JHS","All Locality Types","Ahafo Ano South East","Both sexes",4200,1814,1658,1422,1384
"Total","JSS/JHS","All Locality Types","Ahafo Ano South East","Male",2170,740,742,717,722
"Total","JSS/JHS","All Locality Types","Ahafo Ano South East","Female",2030,1074,916,705,662
"Total","JSS/JHS","All Locality Types","Sekyere Central","Both sexes",3644,1527,1472,1211,1212
"Total","JSS/JHS","All Locality Types","Sekyere Central","Male",1963,726,675,534,591
"Total","JSS/JHS","All Locality Types","Sekyere Central","Female",1681,801,797,677,621
"Total","JSS/JHS","All Locality Types","Western North","Both sexes",51266,23604,20332,17535,17988
"Total","JSS/JHS","All Locality Types","Western North","Male",26780,10049,8951,8474,9432
"Total","JSS/JHS","All Locality Types","Western North","Female",24486,13555,11381,9061,8556
"Total","JSS/JHS","All Locality Types","Ahafo","Both sexes",32073,14903,13697,11998,12203
"Total","JSS/JHS","All Locality Types","Ahafo","Male",16800,6293,6120,5608,6018
"Total","JSS/JHS","All Locality Types","Ahafo","Female",15273,8610,7577,6390,6185
"Total","JSS/JHS","All Locality Types","Bono","Both sexes",60094,27671,25087,23925,25210
"Total","JSS/JHS","All Locality Types","Bono","Male",30705,11917,10440,10169,11320
"Total","JSS/JHS","All Locality Types","Bono","Female",29389,15754,14647,13756,13890
"Total","JSS/JHS","All Locality Types","Dormaa Central Municipal","Both sexes",5942,2993,2789,2675,2941
"Total","JSS/JHS","All Locality Types","Dormaa Central Municipal","Male",3103,1232,1096,1065,1286
"Total","JSS/JHS","All Locality Types","Dormaa Central Municipal","Female",2839,1761,1693,1610,1655
"Total","JSS/JHS","All Locality Types","Bono East","Both sexes",61526,27540,22472,17388,16460
"Total","JSS/JHS","All Locality Types","Bono East","Male",31826,11987,10037,8365,8335
"Total","JSS/JHS","All Locality Types","Bono East","Female",29700,15553,12435,9023,8125
"Total","JSS/JHS","All Locality Types","Oti","Both sexes",41544,15807,11930,9448,9510
"Total","JSS/JHS","All Locality Types","Oti","Male",22278,7126,5802,4835,5085
"Total","JSS/JHS","All Locality Types","Oti","Female",19266,8681,6128,4613,4425
"Total","JSS/JHS","All Locality Types","Northern","Both sexes",92349,25935,17368,12332,8633
"Total","JSS/JHS","All Locality Types","Northern","Male",50362,12976,9135,7031,5357
"Total","JSS/JHS","All Locality Types","Northern","Female",41987,12959,8233,5301,3276
"Total","JSS/JHS","All Locality Types","TMA-Tamale Central","Both sexes",6013,1906,1906,1740,1452
"Total","JSS/JHS","All Locality Types","TMA-Tamale Central","Male",2948,938,918,885,763
"Total","JSS/JHS","All Locality Types","TMA-Tamale Central","Female",3065,968,988,855,689
"Total","JSS/JHS","All Locality Types","Savannah","Both sexes",24529,7983,5548,3332,2198
"Total","JSS/JHS","All Locality Types","Savannah","Male",12830,3643,2722,1877,1339
"Total","JSS/JHS","All Locality Types","Savannah","Female",11699,4340,2826,1455,859
"Total","JSS/JHS","All Locality Types","Central Gonja","Both sexes",4112,1312,868,565,369
"Total","JSS/JHS","All Locality Types","Central Gonja","Male",2198,597,442,318,231
"Total","JSS/JHS","All Locality Types","Central Gonja","Female",1914,715,426,247,138
"Total","JSS/JHS","All Locality Types","Upper East","Both sexes",72582,24977,16761,10246,7057
"Total","JSS/JHS","All Locality Types","Upper East","Male",37148,10982,7576,5362,3962
"Total","JSS/JHS","All Locality Types","Upper East","Female",35434,13995,9185,4884,3095
"Total","JSS/JHS","All Locality Types","Upper West","Both sexes",49484,16429,10459,6381,4774
"Total","JSS/JHS","All Locality Types","Upper West","Male",25016,6921,4708,3221,2501
"Total","JSS/JHS","All Locality Types","Upper West","Female",24468,9508,5751,3160,2273
"Total","JSS/JHS","Rural","Western","Both sexes",58725,31802,30420,26570,23149
"Total","JSS/JHS","Rural","Western","Male",30883,14844,14958,14010,13026
"Total","JSS/JHS","Rural","Western","Female",27842,16958,15462,12560,10123
"Total","JSS/JHS","Rural","Wassa Amenfi Central","Both sexes",5804,3300,3124,2590,2224
"Total","JSS/JHS","Rural","Wassa Amenfi Central","Male",3148,1586,1581,1363,1263
"Total","JSS/JHS","Rural","Wassa Amenfi Central","Female",2656,1714,1543,1227,961
"Total","JSS/JHS","Rural","Central","Both sexes",78330,39749,36914,32283,31024
"Total","JSS/JHS","Rural","Central","Male",40676,16826,16305,15486,15685
"Total","JSS/JHS","Rural","Central","Female",37654,22923,20609,16797,15339
"Total","JSS/JHS","Rural","Gomoa Central","Both sexes",3719,2313,2255,1977,1849
"Total","JSS/JHS","Rural","Gomoa Central","Male",1815,941,986,898,839
"Total","JSS/JHS","Rural","Gomoa Central","Female",1904,1372,1269,1079,1010
"Total","JSS/JHS","Rural","Greater Accra","Both sexes",24763,11639,11966,12171,11437
"Total","JSS/JHS","Rural","Greater Accra","Male",12588,5266,5445,5927,5872
"Total","JSS/JHS","Rural","Greater Accra","Female",12175,6373,6521,6244,5565
"Total","JSS/JHS","Rural","Ga Central Municipal","Both sexes",0,0,0,0,0
"Total","JSS/JHS","Rural","Ga Central Municipal","Male",0,0,0,0,0
"Total","JSS/JHS","Rural","Ga Central Municipal","Female",0,0,0,0,0
"Total","JSS/JHS","Rural","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"Total","JSS/JHS","Rural","Ablekuma Central Municipal","Male",0,0,0,0,0
"Total","JSS/JHS","Rural","Ablekuma Central Municipal","Female",0,0,0,0,0
"Total","JSS/JHS","Rural","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"Total","JSS/JHS","Rural","Ayawaso Central Municipal","Male",0,0,0,0,0
"Total","JSS/JHS","Rural","Ayawaso Central Municipal","Female",0,0,0,0,0
"Total","JSS/JHS","Rural","TMA-Tema Central","Both sexes",0,0,0,0,0
"Total","JSS/JHS","Rural","TMA-Tema Central","Male",0,0,0,0,0
"Total","JSS/JHS","Rural","TMA-Tema Central","Female",0,0,0,0,0
"Total","JSS/JHS","Rural","Volta","Both sexes",59118,25036,23096,21813,21295
"Total","JSS/JHS","Rural","Volta","Male",30958,10502,9979,10069,10286
"Total","JSS/JHS","Rural","Volta","Female",28160,14534,13117,11744,11009
"Total","JSS/JHS","Rural","Central Tongu","Both sexes",4795,1936,1719,1568,1306
"Total","JSS/JHS","Rural","Central Tongu","Male",2522,799,753,696,640
"Total","JSS/JHS","Rural","Central Tongu","Female",2273,1137,966,872,666
"Total","JSS/JHS","Rural","Eastern","Both sexes",86469,40635,40642,38002,37380
"Total","JSS/JHS","Rural","Eastern","Male",46168,17752,18674,18738,19505
"Total","JSS/JHS","Rural","Eastern","Female",40301,22883,21968,19264,17875
"Total","JSS/JHS","Rural","Birim Central Municipal","Both sexes",145,64,84,61,58
"Total","JSS/JHS","Rural","Birim Central Municipal","Male",73,24,42,33,35
"Total","JSS/JHS","Rural","Birim Central Municipal","Female",72,40,42,28,23
"Total","JSS/JHS","Rural","Upper West Akim","Both sexes",4409,2158,2027,1957,1757
"Total","JSS/JHS","Rural","Upper West Akim","Male",2381,911,1001,963,990
"Total","JSS/JHS","Rural","Upper West Akim","Female",2028,1247,1026,994,767
"Total","JSS/JHS","Rural","Ashanti","Both sexes",116403,61432,59107,51762,50253
"Total","JSS/JHS","Rural","Ashanti","Male",61307,26943,27356,25461,26218
"Total","JSS/JHS","Rural","Ashanti","Female",55096,34489,31751,26301,24035
"Total","JSS/JHS","Rural","Amansie Central","Both sexes",4416,2958,2886,2265,2028
"Total","JSS/JHS","Rural","Amansie Central","Male",2378,1321,1504,1258,1189
"Total","JSS/JHS","Rural","Amansie Central","Female",2038,1637,1382,1007,839
"Total","JSS/JHS","Rural","Asante Akim Central Municipal","Both sexes",1896,942,1043,940,893
"Total","JSS/JHS","Rural","Asante Akim Central Municipal","Male",990,403,467,470,416
"Total","JSS/JHS","Rural","Asante Akim Central Municipal","Female",906,539,576,470,477
"Total","JSS/JHS","Rural","Ahafo Ano South West","Both sexes",3221,1366,1236,1111,1138
"Total","JSS/JHS","Rural","Ahafo Ano South West","Male",1752,561,589,529,624
"Total","JSS/JHS","Rural","Ahafo Ano South West","Female",1469,805,647,582,514
"Total","JSS/JHS","Rural","Ahafo Ano North Municipal","Both sexes",4174,1838,1609,1402,1379
"Total","JSS/JHS","Rural","Ahafo Ano North Municipal","Male",2268,784,741,739,749
"Total","JSS/JHS","Rural","Ahafo Ano North Municipal","Female",1906,1054,868,663,630
"Total","JSS/JHS","Rural","Ahafo Ano South East","Both sexes",3272,1387,1266,1046,1034
"Total","JSS/JHS","Rural","Ahafo Ano South East","Male",1730,566,573,529,555
"Total","JSS/JHS","Rural","Ahafo Ano South East","Female",1542,821,693,517,479
"Total","JSS/JHS","Rural","Sekyere Central","Both sexes",2580,1096,1003,767,705
"Total","JSS/JHS","Rural","Sekyere Central","Male",1418,546,499,354,367
"Total","JSS/JHS","Rural","Sekyere Central","Female",1162,550,504,413,338
"Total","JSS/JHS","Rural","Western North","Both sexes",37772,16681,13946,11922,12327
"Total","JSS/JHS","Rural","Western North","Male",20139,7364,6410,6030,6766
"Total","JSS/JHS","Rural","Western North","Female",17633,9317,7536,5892,5561
"Total","JSS/JHS","Rural","Ahafo","Both sexes",18393,7841,6880,5748,5946
"Total","JSS/JHS","Rural","Ahafo","Male",10084,3404,3280,2880,3216
"Total","JSS/JHS","Rural","Ahafo","Female",8309,4437,3600,2868,2730
"Total","JSS/JHS","Rural","Bono","Both sexes",27785,12572,10882,10075,10368
"Total","JSS/JHS","Rural","Bono","Male",14690,5645,4820,4727,5179
"Total","JSS/JHS","Rural","Bono","Female",13095,6927,6062,5348,5189
"Total","JSS/JHS","Rural","Dormaa Central Municipal","Both sexes",3834,1877,1746,1675,1707
"Total","JSS/JHS","Rural","Dormaa Central Municipal","Male",2031,810,758,730,838
